areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E12000001,North East,region,2022-06-25,10_14,0,0,0.0
E12000001,North East,region,2022-06-25,15_19,0,0,0.0
E12000001,North East,region,2022-06-25,20_24,0,0,0.0
E12000001,North East,region,2022-06-25,25_29,0,0,0.0
E12000001,North East,region,2022-06-25,30_34,0,0,0.0
E12000001,North East,region,2022-06-25,35_39,0,1,0.6
E12000001,North East,region,2022-06-25,40_44,0,0,0.0
E12000001,North East,region,2022-06-25,45_49,0,0,0.0
E12000001,North East,region,2022-06-25,50_54,1,3,1.6
E12000001,North East,region,2022-06-25,55_59,0,1,0.5
E12000001,North East,region,2022-06-25,60+,4,24,3.4
E12000001,North East,region,2022-06-25,60_64,0,0,0.0
E12000001,North East,region,2022-06-25,65_69,0,1,0.7
E12000001,North East,region,2022-06-25,70_74,0,3,2.0
E12000001,North East,region,2022-06-25,75_79,0,4,4.0
E12000001,North East,region,2022-06-25,80_84,2,8,10.7
E12000001,North East,region,2022-06-25,85_89,2,5,11.4
E12000001,North East,region,2022-06-25,90+,0,3,13.3
E12000001,North East,region,2022-06-24,00_04,0,0,0.0
E12000001,North East,region,2022-06-24,00_59,0,5,0.3
E12000001,North East,region,2022-06-24,05_09,0,0,0.0
E12000001,North East,region,2022-06-24,10_14,0,0,0.0
E12000001,North East,region,2022-06-24,15_19,0,0,0.0
E12000001,North East,region,2022-06-24,20_24,0,0,0.0
E12000001,North East,region,2022-06-24,25_29,0,1,0.6
E12000001,North East,region,2022-06-24,30_34,0,0,0.0
E12000001,North East,region,2022-06-24,35_39,0,1,0.6
E12000001,North East,region,2022-06-24,40_44,0,0,0.0
E12000001,North East,region,2022-06-24,45_49,0,0,0.0
E12000001,North East,region,2022-06-24,50_54,0,2,1.1
E12000001,North East,region,2022-06-24,55_59,0,1,0.5
E12000001,North East,region,2022-06-24,60+,1,24,3.4
E12000001,North East,region,2022-06-24,60_64,0,0,0.0
E12000001,North East,region,2022-06-24,65_69,0,1,0.7
E12000001,North East,region,2022-06-24,70_74,1,4,2.7
E12000001,North East,region,2022-06-24,75_79,0,4,4.0
E12000001,North East,region,2022-06-24,80_84,0,8,10.7
E12000001,North East,region,2022-06-24,85_89,0,3,6.8
E12000001,North East,region,2022-06-24,90+,0,4,17.7
E12000001,North East,region,2022-06-23,00_04,0,0,0.0
E12000001,North East,region,2022-06-23,00_59,1,6,0.3
E12000001,North East,region,2022-06-23,05_09,0,0,0.0
E12000001,North East,region,2022-06-23,10_14,0,0,0.0
E12000001,North East,region,2022-06-23,15_19,0,0,0.0
E12000001,North East,region,2022-06-23,20_24,0,0,0.0
